Alcona County ,  Alcona Township ,  Alcona Community Schools , 19.4545, 37.6345
Alcona County ,  Caledonia Township ,  Alcona Community Schools , 18.9041, 37.0841
Alcona County ,  Curtis Township ,  Oscoda Area Schools , 20.1021, 38.2821
Alcona County ,  Greenbush Township ,  Oscoda Area Schools , 18.0103, 36.1903
Alcona County ,  Gustin Township ,  Alcona Community Schools , 19.6358, 37.8158
Alcona County ,  Gustin Township ,  Oscoda Area Schools , 19.9802, 38.1602
Alcona County ,  Gustin Township - Lincoln ,  Alcona Community Schools , 27.1805, 45.3605
Alcona County ,  Harrisville ,  Alcona Community Schools , 26.1182, 44.2982
Alcona County ,  Harrisville Township ,  Alcona Community Schools , 16.4261, 34.6061
Alcona County ,  Hawes Township ,  Alcona Community Schools , 19.3729, 37.5529
Alcona County ,  Hawes Township - Lincoln ,  Alcona Community Schools , 26.9176, 45.0976
Alcona County ,  Haynes Township ,  Alcona Community Schools , 17.3958, 35.5758
Alcona County ,  Mikado Township ,  Alcona Community Schools , 19.5455, 37.7255
Alcona County ,  Mikado Township ,  Oscoda Area Schools , 19.8899, 38.0699
Alcona County ,  Millen Township ,  Alcona Community Schools , 19.4979, 37.6779
Alcona County ,  Mitchell Township ,  Fairview Area School Dist. , 18.4498, 36.6298
Alger County ,  Au Train Township ,  Autrain-onota Public Schools , 22.6957, 40.8757
Alger County ,  Au Train Township ,  Munising Public Schools , 25.9681, 44.1481
Alger County ,  Au Train Township ,  Superior Central Schools , 31.8867, 50.0667
Alger County ,  Burt Township ,  Burt Township School Dist , 23.7194, 41.8994
Alger County ,  Grand Island Township ,  Munising Public Schools , 23.4009, 41.5809
Alger County ,  Limestone Township ,  Superior Central Schools , 25.5022, 43.6822
Alger County ,  Mathias Township ,  Superior Central Schools , 28.9382, 47.1182
Alger County ,  Munising ,  Munising Public Schools , 39.3868, 57.5668
Alger County ,  Munising Township ,  Munising Public Schools , 23.6241, 41.8041
Alger County ,  Onota Township ,  Autrain-onota Public Schools , 22.0075, 40.1875
Alger County ,  Rock River Township ,  Superior Central Schools , 27.1227, 45.3027
Alger County ,  Rock River Township - Chatham ,  Superior Central Schools , 31.157, 49.337
Allegan County ,  Allegan ,  Allegan Public Schools , 42.3471, 60.5271
Allegan County ,  Allegan Township ,  Allegan Public Schools , 30.3379, 48.5179
Allegan County ,  Allegan Township ,  Hopkins Public Schools , 32.9022, 51.0822
Allegan County ,  Casco Township ,  Bloomingdale Public Sch Dist , 32.3356, 50.5156
Allegan County ,  Casco Township ,  Fennville Public Schools , 28.5207, 46.7007
Allegan County ,  Casco Township ,  Ganges School District No.4 , 24.5716, 42.7516
Allegan County ,  Casco Township ,  South Haven Public Schools , 31.2098, 49.3898
Allegan County ,  Cheshire Township ,  Allegan Public Schools , 32.1861, 50.3661
Allegan County ,  Cheshire Township ,  Bloomingdale Public Sch Dist , 32.5164, 50.6964
Allegan County ,  Clyde Township ,  Fennville Public Schools , 28.1372, 46.3172
Allegan County ,  Dorr Township ,  Byron Center Public Schools , 28.0009, 46.1809
Allegan County ,  Dorr Township ,  Hopkins Public Schools , 28.7169, 46.8969
Allegan County ,  Dorr Township ,  Wayland Union Schools , 26.7575, 44.9375
